payment_date,payment_month,supplier,expense_type,expense_area,supplier_type,supplier_post_code,amount,transaction_number,description
2024-01-08,2024-01-01 00:00:00,DANFOSS SCOTLAND LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Eh20 9tb,37999.01,562662,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other
2024-01-08,2024-01-01 00:00:00,SYSTEMS MECHANICS LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Ct5 3se,59116.67,562677,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish
2024-01-08,2024-01-01 00:00:00,CATAGEN LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Bt3 9dt,264296.18,562657,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other
2024-01-08,2024-01-01 00:00:00,TRIAD GROUP PLC,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Gu7 1xe,118965.0,562072,Ics - Admin-it Services
2024-01-08,2024-01-01 00:00:00,HARTLEY ANDERSON LTD,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Vendor,Ab41 8er,35975.5,562672,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services
2024-01-09,2024-01-01 00:00:00,LOCOGEN LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Eh3 5bd,57918.92,562790,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure
2024-01-09,2024-01-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9nt,29953.0,562779,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other
2024-01-09,2024-01-01 00:00:00,ANTHESIS UK LTD,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ox4 1re,35100.0,562892,Desnz - Heat Networks Efficiency Scheme (Hnes)-Outsourced Programme Management
2024-01-09,2024-01-01 00:00:00,IRON MOUNTAIN (UK) PLC,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Vendor,Eh54 7df,206162.22,562815,Desnz - Coal Health Administration Costs Including Legal Defence And Records Man-utilisation Of Provisions - Purchase Of Goods & Services - Other
2024-01-09,2024-01-01 00:00:00,RICARDO-AEA LTD,Business Rates,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Ox11 0qr,96766.63,562773,Desnz - Greenhouse Gas Emissions Inventory-business Rates
