Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
27/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Qdot Technology Ltd,574106,49868.99,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ox11 0qx,Grant
27/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Nova Innovation Ltd,574107,244739.24,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Eh6 6qh,Grant
27/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",South Bank University Enterprises Ltd,574174,52410.67,Desnz - Energy Research And Studies-r & D Outsourced Other,Se1 0aa,Vendor
20/02/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Methods Business And Digital Technology Ltd,571043,26174.1,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Ec1n 8ts,Vendor
16/02/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Gemserv Limited,571595,34560,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Ec3m 4aj,Vendor
16/02/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Gemserv Limited,571599,36480,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Ec3m 4aj,Vendor
26/02/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Pa Consulting Services Ltd,573332,53328,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Sg8 6dp,Vendor
21/02/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Kantar Public Uk Ltd,564012,47100.5,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research,Sw1p 3ja,Vendor
21/02/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,571648,69630,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research,Ox11 0qr,Vendor
20/02/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Eunomia Research And Consulting Ltd,572039,25058.33,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research,Bs1 4qs,Vendor
23/02/2024,Talent And Beis Exclusive Training,Desnz - Corporate Services - Desnz - Human Resources,Cabinet Office,568881,42448.5,Desnz - Desnz Corporate Services Admin-talent And Beis Exclusive Training,Np10 8fz,Wga Only
21/02/2024,Talent And Beis Exclusive Training,Desnz - Corporate Services - Desnz - Human Resources,Ernst And Young Llp,571334,50000,Desnz - Desnz Corporate Services Admin-talent And Beis Exclusive Training,Se1 2af,Vendor
06/02/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Civil Nuclear Police Authority (Civil Nuclear Constabulary),568143,118928,Desnz - Civil Nuclear Police Authority Grant In Aid-grant-in-aid To Arms Length Bodies,Cw7 9gr,Wga Only
15/02/2024,Misc. Non Procurement Spend,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",National Nuclear Laboratory Ltd,570008,33194.4,Desnz - Devolved Admin-misc Non Procurement Spend,Wa3 6ae,Vendor
01/02/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Organisation For The Prohibition Of Chemical Weapons (Opcw),564303,2837772.22,Desnz - Opcw Annual Subscription-international Subscriptions,2517 Jr,Vendor
22/02/2024,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",International Atomic Energy Agency,568767,256131,Desnz - Peaceful Uses-current Grants To Overseas Bodies,1400,Vendor
