Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
11/07/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridgeshire And Peterborough Combined Authority,607566,"£720,730.88",Desnz - Consumer Advice & Information (Cai)-Current Grants To Local Government,Pe29 3tn,Grant
11/07/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Of England Combined Authority,608544,"£599,908.85",Desnz - Consumer Advice & Information (Cai)-Current Grants To Local Government,Bs1 6al,Grant
11/07/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Liverpool City Region Combined Authority,608546,"£516,656.20",Desnz - Consumer Advice & Information (Cai)-Current Grants To Local Government,L3 1bp,Vendor
24/07/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Res Q Ltd,611325,"£34,368.24",Desnz - Consumer Advice & Information (Cai)-Technical Advice / Services & Support,Hu1 3jz,Grant
02/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,606302,"£26,000.00",Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other,Se1 9nt,Vendor
23/07/2024,Ict Outsourcing & Maintenance/Support,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Phoenix Software Ltd,610121,"£65,157.12",Desnz - Devolved Admin-ict Outsourcing & Maintenance/Support,Yo42 1ns,Vendor
23/07/2024,Ict Outsourcing & Maintenance/Support,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Phoenix Software Ltd,610357,"£115,905.01",Desnz - Devolved Admin-ict Outsourcing & Maintenance/Support,Yo42 1ns,Vendor
15/07/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Verian Group Uk Ltd,609381,"£159,672.00",Desnz - Energy Statistics And Data-r & D Economic Consultancy And Research,Sw1p 3ja,Vendor
03/07/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Steer Davies And Gleave Ltd,606085,"£33,499.24",Desnz - Fuel Poverty Eco-outsourced Programme Management,Se1 0rb,Vendor
12/07/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Verian Group Uk Ltd,609321,"£82,199.11",Desnz - Fuel Poverty Eco-outsourced Programme Management,Sw1p 3ja,Vendor
22/07/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Serco Ltd,610391,"£98,379.03",Desnz - Dwp Warm Home Discount Delivery-technical Advice / Services & Support,Nn17 9gy,Vendor
01/07/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ernst And Young Llp,606146,"£841,639.95",Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Se1 2af,Vendor
03/07/2024,Technical Advice / Services & Support,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Wsp Uk Ltd,607074,"£711,249.02",Desnz - Eu Exit: No Specific Dexeu Issue Prog-technical Advice / Services & Support,M15 4rp,Vendor
15/07/2024,Legal Services And Advice Agency,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ashurst Llp,609643,"£352,282.19",Desnz - Eu Exit: No Specific Dexeu Issue Prog-legal Services And Advice Agency,E1 6pw,Vendor
15/07/2024,Legal Services And Advice Agency,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ashurst Llp,609643,"£520,451.84",Desnz - Eu Exit: No Specific Dexeu Issue Prog-legal Services And Advice Agency,E1 6pw,Vendor
16/07/2024,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Oxford Global Projects Uk Ltd,609675,"£78,000.00",Desnz - Devolved Admin-consultancy Expenditure,Ox4 4gp,Vendor
30/07/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ernst And Young Llp,612199,"£192,463.24",Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Se1 2af,Vendor
30/07/2024,Finance & Accounting Advice,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Ernst And Young Llp,612199,"£524,421.49",Desnz - Eu Exit: No Specific Dexeu Issue Prog-finance & Accounting Advice,Se1 2af,Vendor
22/07/2024,Ca - Clarity Travel Management,Ics - Integrated Corporate Services - Ics - Digital,Corporate Travel Management (North) Ltd,610612,"£254,371.52",Default-ca - Clarity Travel Management,Bd1 5hq,Vendor
22/07/2024,Ca - Clarity Travel Management,Ics - Integrated Corporate Services - Ics - Digital,Corporate Travel Management (North) Ltd,610613,"£397,984.30",Default-ca - Clarity Travel Management,Bd1 5hq,Vendor
22/07/2024,Ca - Clarity Travel Management,Ics - Integrated Corporate Services - Ics - Digital,Corporate Travel Management (North) Ltd,610615,"£364,031.44",Default-ca - Clarity Travel Management,Bd1 5hq,Vendor
15/07/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Trade & Energy",Third Generation Environmentalism Ltd (E3g),609373,"£50,000.00",Desnz - Inz - Care Fund-current Grants To Private Sector - Npish,Se1 0es,Vendor
03/07/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Bjss Ltd,602204,"£46,280.25",Ics - Admin-technical Advice / Services & Support,Ls1 4hr,Vendor
05/07/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,604694,"£152,793.75",Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
05/07/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,605326,"£75,657.00",Ics - Admin-other It Consultancy,Se1 1ja,Vendor
05/07/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,605424,"£60,962.00",Ics - Admin-technical Advice / Services & Support,Ec2v 7tl,Vendor
24/07/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Triad Group Plc,607148,"£86,385.00",Ics - Admin-it Services,Gu7 1xe,Vendor
09/07/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,608079,"£105,492.00",Ics - Admin-it Services,Po6 3ae,Vendor
15/07/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Acuity Applied Ltd,608103,"£27,378.00",Ics - Admin-other It Consultancy,Ec2a 4ne,Vendor
23/07/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,608551,"£69,000.00",Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
23/07/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Bjss Ltd,609074,"£44,733.50",Ics - Admin-technical Advice / Services & Support,Ls1 4hr,Vendor
23/07/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,609719,"£116,025.00",Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
30/07/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,611048,"£59,750.00",Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
25/07/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,611055,"£66,062.50",Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
01/07/2024,R & D Professional Subscriptions,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Afry Management Consulting Ltd,605564,"£51,091.20","Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Professional Subscriptions",Ox1 1jd,Vendor
01/07/2024,R & D Professional Subscriptions,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Afry Management Consulting Ltd,605564,"£61,656.00","Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Professional Subscriptions",Ox1 1jd,Vendor
02/07/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Cepa Llp,606174,"£29,980.00","Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",Wc2a 3lj,Vendor
02/07/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Ove Arup And Partners Ltd,606192,"£84,098.07","Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",W1t 4bj,Vendor
23/07/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Cepa Llp,610689,"£29,980.00","Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",Wc2a 3lj,Vendor
03/07/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,605845,"£707,060.07",Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
10/07/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,607423,"£47,190,000.00",Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
10/07/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,607425,"£39,780,000.00",Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
08/07/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",University Of Exeter,607805,"£81,487.00",Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Ex4 4qj,Grant
10/07/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Dai Global Uk Ltd,608453,"£556,442.11",Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Hp3 9td,Vendor
17/07/2024,Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Adam Smith International Ltd,609720,"£31,413.83",Desnz - International Climate Finance (Icf)-Research And Development Expenditure,Se1 8nw,Vendor
