Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
07/03/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,575532,30000000,Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
11/03/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,577369,9757745,Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
08/03/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Mott Macdonald Ltd,577377,29883.53,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Bn1 4fy,Vendor
08/03/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Mott Macdonald Ltd,577379,103954.11,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Bn1 4fy,Vendor
08/03/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Mott Macdonald Ltd,577380,161467.76,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,Bn1 4fy,Vendor
15/03/2024,Ncl - Accruals - Oda Promissory Notes,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Bank Of England,578636,74339000,Desnz - International Climate Finance (Icf)-Ncl - Accruals - Oda Promissory Notes,Ec2r 8ah,Vendor
28/03/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",United Nations Office For Project Services (Unops),578689,3000000,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,1219,Grant
25/03/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Centre For International Forestry Research (Cifor),582716,262660.08,Desnz - International Climate Finance (Icf)-Current Grants To Private Sector - Npish,16115,Grant
27/03/2024,Capital Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Fmo - Netherlands Development Finance Company,583569,8400000,Desnz - International Climate Finance (Icf)-Capital Grants To Overseas Bodies,2593 Hw,Grant
25/03/2024,Energy Management Services,"Desnz - Net Zero, Nuclear & International - Desnz - Net Zero Strategy",Low Carbon Contracts Company Ltd,583305,37178.17,Desnz - Clean Growth-energy Management Services,E14 4pu,Vendor
27/03/2024,Other It Consultancy,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Phoenix Software Ltd,571990,146898.47,Desnz - Devolved Admin-other It Consultancy,Yo42 1ns,Vendor
27/03/2024,Other It Consultancy,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Phoenix Software Ltd,582818,130218.38,Desnz - Devolved Admin-other It Consultancy,Yo42 1ns,Vendor
25/03/2024,Energy Management Services,"Desnz - Net Zero, Nuclear & International - Desnz - Net Zero Strategy",Baringa Partners Llp,583419,130000,Desnz - Clean Growth - Shared Outcomes Fund-energy Management Services,Sw1e 6aj,Vendor
18/03/2024,Consultancy Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuvia Ltd,579856,122793.95,Desnz - Radiation Monitor Network-consultancy Expenditure,Wa3 6xg,Vendor
26/03/2024,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Fti Consulting Ltd,568515,63745.97,Desnz - Energy Bills Relief Scheme-outsourced Programme Management,Ec1a 4hd,Vendor
