Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stonewater Ltd,597857,537885.65,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Le6 8ep,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Thanet District Council,597859,242536.25,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ct9 1xz,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,The Riverside Group Ltd,597860,101880.58,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,L24 8rf,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Three Rivers District Council,597861,154865,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Wd3 1rl,Grant
23/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Together Housing Association,597862,946000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hx1 2eb,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vivid Housing Ltd,597863,598003.45,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Po2 8hb,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Midlands Combined Authority,597864,219274.86,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B19 3sd,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Northamptonshire Council,597865,134454.99,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nn1 1ed,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Of England Combined Authority,597866,306420.53,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bs1 6qh,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Of England Combined Authority,597867,761168.11,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bs1 6al,Grant
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Yorkshire Combined Authority,597868,519948.09,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ls1 2de,Wga Only
22/05/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Westmorland And Furness Council,597872,266701.57,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,La9 4dq,Grant
09/05/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Economic Modeling Llc Dba Lightcast,594224,135000,Desnz - Advanced Analytics Support-r & D Economic Consultancy And Research,83843,Vendor
29/05/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Ifrs Foundation,598866,34758,Desnz - Inz - Care Fund-current Grants To Private Sector - Npish,E14 4hd,Vendor
13/05/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",United Nations Environment Programme (Unep),595614,78897,Desnz - Inz - Care Fund-current Grants To Private Sector - Npish,00100,Grant
09/05/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594620,37482.76,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
