Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
05/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",People Powered Retrofit Ltd,600459,28750.11,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,M4 7hr,Grant
05/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Office For Nuclear Regulation,600462,28733.02,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Np10 8fz,Vendor
05/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,600465,133858.67,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Wa3 6ae,Vendor
06/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Metis Energy Ltd,600466,96640,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Cf23 8xh,Vendor
07/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ukri-innovate Uk,600681,21856031.19,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Sn2 1fl,Wga Only
06/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",City Science Corporation Ltd,600691,132267.74,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Ex1 1ts,Vendor
11/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Greensync Pty Ltd,600705,215491.73,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,3000,Vendor
06/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Clydesdale Bank Plc T/A Virgin Money,600770,40520.45,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,G1 2hl,Vendor
07/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Arniston Ltd T/A Snugg Energy,601036,272087.9,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Eh8 9bt,Grant
11/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Rheenergise Ltd,601503,217869.42,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Nw5 1lp,Grant
14/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Oecd (Organisation For Economic Co-operation And Development),601638,723349.31,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,75775,Vendor
12/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Chameleon Technology (Uk) Ltd,601884,48727.22,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Hg3 1uf,Grant
12/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Chameleon Technology (Uk) Ltd,601887,311043.11,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Hg3 1uf,Grant
27/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,602449,2350000,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Wa3 6ae,Vendor
14/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Advanced Infrastructure Technology Ltd,602505,75000,Desnz - Net Zero Innovation - Built-r & D Outsourced Other,Cb1 1ah,Vendor
14/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Engage Consulting Ltd,602549,52749.63,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ec2n 1hn,Vendor
27/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,602550,30000,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Wa3 6ae,Vendor
17/06/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Rand Europe Community Interest Company,602802,43900,Desnz - Net Zero Innovation - Nuclear-r & D Research And Development Expenditure,Cb4 1yg,Vendor
