Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
12/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Haskoningdhv Uk Ltd,588359,49845.48,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Pe2 6fz,Grant
12/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,588361,225647.68,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
15/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,588792,78629.83,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
15/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,588811,230326.83,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
16/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,589109,173336.97,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
16/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,589110,48981.68,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
16/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Nottingham,589141,80000,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2rd,Vendor
16/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Nottingham,589142,80000,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2rd,Vendor
16/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Nottingham,589143,34197.5,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2rd,Vendor
16/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Nottingham,589146,85360,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2rd,Vendor
16/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Lapwing Energy Ltd,589156,26042.06,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Dn10 5bz,Vendor
18/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Tetronics Technologies Ltd,589756,606331.48,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,Sn3 4de,Vendor
18/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,589771,517472.02,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,B3 3hn,Vendor
18/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ai Build Ltd,589785,52727.9,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,E10 7qp,Grant
19/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Fp Mccann,590121,88042.36,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Bt45 8qa,Grant
22/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Compact Syngas Solutions Ltd,590413,449252.97,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ch5 2qe,Vendor
24/04/2024,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ryze Power Ltd,591025,164207.12,Desnz - Net Zero Costs - Admin-current Grants To Private Sector - Npish,Ox1 2du,Grant
24/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Actuation Lab Ltd,591082,248171.54,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,Bs3 4ag,Vendor
24/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cheesecake Energy Ltd,591376,805557,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ng7 2tu,Vendor
26/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Baker Hughes Energy Technology Uk Ltd,591770,25463.34,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Bs48 1bs,Vendor
29/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo Uk Ltd,592179,84134.09,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Bn43 5fg,Vendor
29/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cambridge Carbon Capture Ltd,592180,96926.19,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Cb4 2hy,Vendor
29/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",H2go Power Ltd,592181,349069.36,Desnz - Net Zero Innovation - Hydrogen-r & D Current Grants To Private Sector - Npish,W12 0bz,Grant
30/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Remediiate (Uk) Ltd,592457,49490.13,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Kt12 3hs,Grant
30/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Remediiate (Uk) Ltd,592458,37965.08,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Kt12 3hs,Grant
24/04/2024,Clearing Account   - Cost - Furniture & Fittings,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591035,650687.62,Desnz - Estates Infrastructure And Maintenance-clearing Account   - Cost - Furniture & Fittings,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591381,33174.08,Ics - Admin-minor Works,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591390,56888.74,Ics - Admin-minor Works,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591403,47864.24,Ics - Admin-minor Works,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591404,69616.03,Ics - Admin-minor Works,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591431,95134.82,Ics - Admin-minor Works,B3 2bj,Vendor
25/04/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591439,60440.58,Ics - Admin-minor Works,B3 2bj,Vendor
26/04/2024,Accommodation & Building Management,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,591755,52878.87,Desnz - Devolved Admin-accommodation & Building Management,B3 2bj,Vendor
30/04/2024,Do Not Use Rentals Under Non-pfi Operating Leases - Buildings,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,592516,674752.51,Desnz - Devolved Admin-do Not Use Rentals Under Non-pfi Operating Leases - Buildings,B3 2bj,Vendor
30/04/2024,Accommodation & Building Management,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,592516,33417.12,Desnz - Devolved Admin-accommodation & Building Management,B3 2bj,Vendor
30/04/2024,Accommodation & Building Management,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,592516,35027.43,Desnz - Devolved Admin-accommodation & Building Management,B3 2bj,Vendor
30/04/2024,Accommodation & Building Management,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,592516,258118.49,Desnz - Devolved Admin-accommodation & Building Management,B3 2bj,Vendor
30/04/2024,Accommodation & Building Management,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,592516,608288.72,Desnz - Devolved Admin-accommodation & Building Management,B3 2bj,Vendor
18/04/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,583333,62070,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-technical Advice / Services & Support,Ls18 4gh,Vendor
15/04/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,585827,64392.29,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-economic Consultancy & Research,Ec3r 6hd,Vendor
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Broadland District Council,586628,237306.57,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Nr7 0du,Grant
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Great Yarmouth Borough Council,586629,302494.06,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Nr30 2qf,Grant
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Oxfordshire County Council,586630,496862.72,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Ox1 1nd,Wga Only
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Portsmouth City Council,586631,1527122.05,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Po1 2al,Wga Only
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sevenoaks District Council,586632,61971.61,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Tn13 1hg,Grant
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stroud District Council,586633,420685.13,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Gl5 4ub,Vendor
05/04/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Bristol City Council,586634,420354,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government,Bs1 9ne,Wga Only
08/04/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,587247,1623930.7,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
08/04/2024,Capital Grants To Central Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,587248,119173.8,Desnz - Salix - Grant In Aid.-Capital Grants To Central Government,E14 4pu,Grant
22/04/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,590386,2121915.46,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
22/04/2024,Capital Grants To Central Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Salix Finance Ltd,590387,103849.8,Desnz - Salix - Grant In Aid.-Capital Grants To Central Government,E14 4pu,Grant
